,years,N_events
0,1921.0,0.0
1,1922.0,0.0
2,1923.0,1.0
3,1924.0,0.0
4,1925.0,0.0
5,1926.0,1.0
6,1927.0,0.0
7,1928.0,0.0
8,1929.0,1.0
9,1930.0,0.0
10,1931.0,2.0
11,1932.0,1.0
12,1933.0,0.0
13,1934.0,0.0
14,1935.0,0.0
15,1936.0,0.0
16,1937.0,0.0
17,1938.0,1.0
18,1939.0,0.0
19,1940.0,0.0
20,1941.0,1.0
21,1942.0,0.0
22,1943.0,0.0
23,1944.0,1.0
24,1945.0,0.0
25,1946.0,0.0
26,1947.0,1.0
27,1948.0,0.0
28,1949.0,0.0
29,1950.0,0.0
30,1951.0,0.0
31,1952.0,0.0
32,1953.0,3.0
33,1954.0,0.0
34,1955.0,0.0
35,1956.0,0.0
36,1957.0,0.0
37,1958.0,0.0
38,1959.0,1.0
39,1960.0,0.0
40,1961.0,1.0
41,1962.0,0.0
42,1963.0,1.0
43,1964.0,0.0
44,1965.0,0.0
45,1966.0,0.0
46,1967.0,0.0
47,1968.0,0.0
48,1969.0,0.0
49,1970.0,0.0
50,1971.0,0.0
51,1972.0,0.0
52,1973.0,0.0
53,1974.0,0.0
54,1975.0,1.0
55,1976.0,0.0
56,1977.0,0.0
57,1978.0,0.0
58,1979.0,0.0
59,1980.0,0.0
60,1981.0,0.0
61,1982.0,0.0
62,1983.0,0.0
63,1984.0,0.0
64,1985.0,1.0
65,1986.0,1.0
66,1987.0,1.0
67,1988.0,0.0
68,1989.0,0.0
69,1990.0,1.0
70,1991.0,1.0
71,1992.0,0.0
72,1993.0,0.0
73,1994.0,0.0
74,1995.0,0.0
75,1996.0,0.0
76,1997.0,0.0
77,1998.0,0.0
78,1999.0,0.0
79,2000.0,0.0
80,2001.0,1.0
81,2002.0,0.0
82,2003.0,1.0
83,2004.0,1.0
84,2005.0,0.0
85,2006.0,2.0
86,2007.0,0.0
87,2008.0,2.0
88,2009.0,0.0
89,2010.0,0.0
90,2011.0,0.0
91,2012.0,0.0
92,2013.0,0.0
93,2014.0,0.0
94,2015.0,0.0
95,2016.0,1.0
96,2017.0,1.0
97,2018.0,0.0
98,2019.0,0.0
99,2020.0,0.0
100,2021.0,1.0
101,2022.0,1.0
102,2023.0,1.0
103,2024.0,2.0
104,2025.0,2.0
105,2026.0,1.0
106,2027.0,1.0
107,2028.0,0.0
108,2029.0,1.0
109,2030.0,0.0
110,2031.0,1.0
111,2032.0,0.0
112,2033.0,0.0
113,2034.0,0.0
114,2035.0,0.0
115,2036.0,2.0
116,2037.0,2.0
117,2038.0,0.0
118,2039.0,0.0
119,2040.0,1.0
120,2041.0,1.0
121,2042.0,0.0
122,2043.0,0.0
123,2044.0,0.0
124,2045.0,1.0
125,2046.0,1.0
126,2047.0,2.0
127,2048.0,0.0
128,2049.0,0.0
129,2050.0,1.0
130,2051.0,1.0
131,2052.0,0.0
132,2053.0,0.0
133,2054.0,0.0
134,2055.0,1.0
135,2056.0,4.0
136,2057.0,1.0
137,2058.0,0.0
138,2059.0,0.0
139,2060.0,0.0
140,2061.0,0.0
141,2062.0,0.0
142,2063.0,0.0
143,2064.0,1.0
144,2065.0,2.0
145,2066.0,0.0
146,2067.0,2.0
147,2068.0,1.0
148,2069.0,0.0
149,2070.0,2.0
150,2071.0,0.0
151,2072.0,0.0
152,2073.0,0.0
153,2074.0,1.0
154,2075.0,2.0
155,2076.0,1.0
156,2077.0,1.0
157,2078.0,0.0
158,2079.0,0.0
159,2080.0,2.0
160,2081.0,1.0
161,2082.0,0.0
162,2083.0,0.0
163,2084.0,0.0
164,2085.0,0.0
165,2086.0,0.0
166,2087.0,0.0
167,2088.0,2.0
168,2089.0,0.0
169,2090.0,0.0
170,2091.0,0.0
171,2092.0,0.0
172,2093.0,2.0
173,2094.0,0.0
174,2095.0,1.0
175,2096.0,0.0
176,2097.0,1.0
177,2098.0,0.0
178,2099.0,0.0
