,years,N_events
0,1936.0,15.0
1,1937.0,14.0
2,1938.0,17.0
3,1939.0,15.0
4,1940.0,15.0
5,1941.0,14.0
6,1942.0,14.0
7,1943.0,14.0
8,1944.0,13.0
9,1945.0,13.0
10,1946.0,13.0
11,1947.0,12.0
12,1948.0,13.0
13,1949.0,13.0
14,1950.0,13.0
15,1951.0,11.0
16,1952.0,12.0
17,1953.0,11.0
18,1954.0,11.0
19,1955.0,10.0
20,1956.0,9.0
21,1957.0,9.0
22,1958.0,10.0
23,1959.0,10.0
24,1960.0,10.0
25,1961.0,11.0
26,1962.0,10.0
27,1963.0,8.0
28,1964.0,8.0
29,1965.0,8.0
30,1966.0,8.0
31,1967.0,8.0
32,1968.0,5.0
33,1969.0,5.0
34,1970.0,5.0
35,1971.0,5.0
36,1972.0,6.0
37,1973.0,7.0
38,1974.0,7.0
39,1975.0,7.0
40,1976.0,8.0
41,1977.0,8.0
42,1978.0,7.0
43,1979.0,7.0
44,1980.0,7.0
45,1981.0,7.0
46,1982.0,7.0
47,1983.0,7.0
48,1984.0,6.0
49,1985.0,6.0
50,1986.0,6.0
51,1987.0,6.0
52,1988.0,7.0
53,1989.0,7.0
54,1990.0,7.0
55,1991.0,7.0
56,1992.0,8.0
57,1993.0,9.0
58,1994.0,10.0
59,1995.0,10.0
60,1996.0,10.0
61,1997.0,11.0
62,1998.0,11.0
63,1999.0,11.0
64,2000.0,11.0
65,2001.0,11.0
66,2002.0,11.0
67,2003.0,10.0
68,2004.0,10.0
69,2005.0,10.0
70,2006.0,10.0
71,2007.0,11.0
72,2008.0,11.0
73,2009.0,11.0
74,2010.0,11.0
75,2011.0,13.0
76,2012.0,13.0
77,2013.0,13.0
78,2014.0,13.0
79,2015.0,14.0
80,2016.0,15.0
81,2017.0,15.0
82,2018.0,13.0
83,2019.0,13.0
84,2020.0,16.0
85,2021.0,15.0
86,2022.0,14.0
87,2023.0,13.0
88,2024.0,13.0
89,2025.0,13.0
90,2026.0,14.0
91,2027.0,13.0
92,2028.0,14.0
93,2029.0,15.0
94,2030.0,15.0
95,2031.0,15.0
96,2032.0,15.0
97,2033.0,17.0
98,2034.0,17.0
99,2035.0,17.0
100,2036.0,16.0
101,2037.0,15.0
102,2038.0,15.0
103,2039.0,15.0
104,2040.0,15.0
105,2041.0,14.0
106,2042.0,14.0
107,2043.0,15.0
108,2044.0,15.0
109,2045.0,14.0
110,2046.0,14.0
111,2047.0,15.0
112,2048.0,15.0
113,2049.0,18.0
114,2050.0,15.0
115,2051.0,17.0
116,2052.0,18.0
117,2053.0,19.0
118,2054.0,19.0
119,2055.0,22.0
120,2056.0,22.0
121,2057.0,23.0
122,2058.0,22.0
123,2059.0,22.0
124,2060.0,25.0
125,2061.0,26.0
126,2062.0,26.0
127,2063.0,26.0
128,2064.0,27.0
129,2065.0,29.0
130,2066.0,35.0
131,2067.0,35.0
132,2068.0,35.0
133,2069.0,37.0
134,2070.0,37.0
135,2071.0,36.0
136,2072.0,36.0
137,2073.0,38.0
138,2074.0,42.0
139,2075.0,42.0
140,2076.0,42.0
141,2077.0,42.0
142,2078.0,42.0
143,2079.0,40.0
144,2080.0,40.0
145,2081.0,38.0
146,2082.0,39.0
147,2083.0,39.0
148,2084.0,38.0
149,2085.0,35.0
