,years,N_events
0,1936.0,11.0
1,1937.0,5.0
2,1938.0,0.0
3,1939.0,0.0
4,1940.0,0.0
5,1941.0,0.0
6,1942.0,0.0
7,1943.0,0.0
8,1944.0,0.0
9,1945.0,0.0
10,1946.0,0.0
11,1947.0,0.0
12,1948.0,0.0
13,1949.0,0.0
14,1950.0,0.0
15,1951.0,0.0
16,1952.0,0.0
17,1953.0,0.0
18,1954.0,0.0
19,1955.0,0.0
20,1956.0,0.0
21,1957.0,0.0
22,1958.0,0.0
23,1959.0,0.0
24,1960.0,10.0
25,1961.0,10.0
26,1962.0,10.0
27,1963.0,26.0
28,1964.0,26.0
29,1965.0,26.0
30,1966.0,26.0
31,1967.0,26.0
32,1968.0,26.0
33,1969.0,55.0
34,1970.0,55.0
35,1971.0,55.0
36,1972.0,55.0
37,1973.0,55.0
38,1974.0,55.0
39,1975.0,55.0
40,1976.0,55.0
41,1977.0,55.0
42,1978.0,55.0
43,1979.0,55.0
44,1980.0,55.0
45,1981.0,55.0
46,1982.0,55.0
47,1983.0,55.0
48,1984.0,55.0
49,1985.0,55.0
50,1986.0,55.0
51,1987.0,55.0
52,1988.0,55.0
53,1989.0,64.0
54,1990.0,54.0
55,1991.0,54.0
56,1992.0,54.0
57,1993.0,38.0
58,1994.0,38.0
59,1995.0,38.0
60,1996.0,38.0
61,1997.0,38.0
62,1998.0,38.0
63,1999.0,9.0
64,2000.0,9.0
65,2001.0,17.0
66,2002.0,17.0
67,2003.0,17.0
68,2004.0,17.0
69,2005.0,17.0
70,2006.0,17.0
71,2007.0,17.0
72,2008.0,17.0
73,2009.0,17.0
74,2010.0,17.0
75,2011.0,17.0
76,2012.0,17.0
77,2013.0,17.0
78,2014.0,17.0
79,2015.0,17.0
80,2016.0,24.0
81,2017.0,24.0
82,2018.0,28.0
83,2019.0,19.0
84,2020.0,19.0
85,2021.0,19.0
86,2022.0,19.0
87,2023.0,19.0
88,2024.0,19.0
89,2025.0,19.0
90,2026.0,19.0
91,2027.0,19.0
92,2028.0,19.0
93,2029.0,40.0
94,2030.0,40.0
95,2031.0,32.0
96,2032.0,32.0
97,2033.0,32.0
98,2034.0,32.0
99,2035.0,32.0
100,2036.0,32.0
101,2037.0,32.0
102,2038.0,40.0
103,2039.0,62.0
104,2040.0,62.0
105,2041.0,62.0
106,2042.0,66.0
107,2043.0,77.0
108,2044.0,77.0
109,2045.0,77.0
110,2046.0,70.0
111,2047.0,82.0
112,2048.0,78.0
113,2049.0,78.0
114,2050.0,78.0
115,2051.0,79.0
116,2052.0,88.0
117,2053.0,88.0
118,2054.0,114.0
119,2055.0,114.0
120,2056.0,114.0
121,2057.0,114.0
122,2058.0,139.0
123,2059.0,118.0
124,2060.0,146.0
125,2061.0,146.0
126,2062.0,153.0
127,2063.0,181.0
128,2064.0,181.0
129,2065.0,181.0
130,2066.0,181.0
131,2067.0,181.0
132,2068.0,209.0
133,2069.0,187.0
134,2070.0,187.0
135,2071.0,200.0
136,2072.0,203.0
137,2073.0,192.0
138,2074.0,213.0
139,2075.0,213.0
140,2076.0,213.0
141,2077.0,208.0
142,2078.0,208.0
143,2079.0,208.0
144,2080.0,208.0
145,2081.0,216.0
146,2082.0,228.0
147,2083.0,228.0
148,2084.0,210.0
149,2085.0,210.0
