,years,N_events,N_PIC_events
0,1936.0,37.0,72.0
1,1937.0,37.0,72.0
2,1938.0,37.0,72.0
3,1939.0,35.0,72.0
4,1940.0,34.0,72.0
5,1941.0,36.0,72.0
6,1942.0,37.0,72.0
7,1943.0,34.0,72.0
8,1944.0,34.0,72.0
9,1945.0,32.0,72.0
10,1946.0,31.0,72.0
11,1947.0,32.0,72.0
12,1948.0,32.0,72.0
13,1949.0,31.0,72.0
14,1950.0,30.0,72.0
15,1951.0,33.0,72.0
16,1952.0,34.0,72.0
17,1953.0,34.0,72.0
18,1954.0,32.0,72.0
19,1955.0,34.0,72.0
20,1956.0,35.0,72.0
21,1957.0,37.0,72.0
22,1958.0,39.0,72.0
23,1959.0,41.0,72.0
24,1960.0,42.0,72.0
25,1961.0,43.0,72.0
26,1962.0,45.0,72.0
27,1963.0,48.0,72.0
28,1964.0,50.0,72.0
29,1965.0,53.0,72.0
30,1966.0,54.0,72.0
31,1967.0,55.0,72.0
32,1968.0,53.0,72.0
33,1969.0,57.0,72.0
34,1970.0,59.0,72.0
35,1971.0,60.0,72.0
36,1972.0,59.0,72.0
37,1973.0,60.0,72.0
38,1974.0,61.0,72.0
39,1975.0,61.0,72.0
40,1976.0,62.0,72.0
41,1977.0,60.0,72.0
42,1978.0,62.0,72.0
43,1979.0,67.0,72.0
44,1980.0,67.0,72.0
45,1981.0,65.0,72.0
46,1982.0,63.0,72.0
47,1983.0,64.0,72.0
48,1984.0,64.0,72.0
49,1985.0,64.0,72.0
50,1986.0,61.0,72.0
51,1987.0,60.0,72.0
52,1988.0,60.0,72.0
53,1989.0,61.0,72.0
54,1990.0,62.0,72.0
55,1991.0,62.0,72.0
56,1992.0,61.0,72.0
57,1993.0,59.0,72.0
58,1994.0,59.0,72.0
59,1995.0,56.0,72.0
60,1996.0,59.0,72.0
61,1997.0,57.0,72.0
62,1998.0,56.0,72.0
63,1999.0,50.0,72.0
64,2000.0,51.0,72.0
65,2001.0,50.0,72.0
66,2002.0,49.0,72.0
67,2003.0,50.0,72.0
68,2004.0,51.0,72.0
69,2005.0,52.0,72.0
70,2006.0,51.0,72.0
71,2007.0,56.0,72.0
72,2008.0,59.0,72.0
73,2009.0,55.0,72.0
74,2010.0,56.0,72.0
75,2011.0,56.0,72.0
76,2012.0,58.0,72.0
77,2013.0,60.0,72.0
78,2014.0,62.0,72.0
79,2015.0,60.0,72.0
80,2016.0,63.0,72.0
81,2017.0,64.0,72.0
82,2018.0,66.0,72.0
83,2019.0,69.0,72.0
84,2020.0,71.0,72.0
85,2021.0,69.0,72.0
86,2022.0,70.0,72.0
87,2023.0,71.0,72.0
88,2024.0,74.0,72.0
89,2025.0,74.0,72.0
90,2026.0,71.0,72.0
91,2027.0,71.0,72.0
92,2028.0,75.0,72.0
93,2029.0,82.0,72.0
94,2030.0,80.0,72.0
95,2031.0,80.0,72.0
96,2032.0,82.0,72.0
97,2033.0,85.0,72.0
98,2034.0,85.0,72.0
99,2035.0,85.0,72.0
100,2036.0,87.0,72.0
101,2037.0,85.0,72.0
102,2038.0,87.0,72.0
103,2039.0,90.0,72.0
104,2040.0,90.0,72.0
105,2041.0,94.0,72.0
106,2042.0,94.0,72.0
107,2043.0,92.0,72.0
108,2044.0,91.0,72.0
109,2045.0,95.0,72.0
110,2046.0,96.0,72.0
111,2047.0,98.0,72.0
112,2048.0,99.0,72.0
113,2049.0,98.0,72.0
114,2050.0,94.0,72.0
115,2051.0,96.0,72.0
116,2052.0,98.0,72.0
117,2053.0,99.0,72.0
118,2054.0,100.0,72.0
119,2055.0,103.0,72.0
120,2056.0,102.0,72.0
121,2057.0,107.0,72.0
122,2058.0,105.0,72.0
123,2059.0,103.0,72.0
124,2060.0,104.0,72.0
125,2061.0,104.0,72.0
126,2062.0,104.0,72.0
127,2063.0,102.0,72.0
128,2064.0,101.0,72.0
129,2065.0,103.0,72.0
130,2066.0,102.0,72.0
131,2067.0,105.0,72.0
132,2068.0,104.0,72.0
133,2069.0,104.0,72.0
134,2070.0,104.0,72.0
135,2071.0,106.0,72.0
136,2072.0,111.0,72.0
137,2073.0,116.0,72.0
138,2074.0,117.0,72.0
139,2075.0,115.0,72.0
140,2076.0,115.0,72.0
141,2077.0,117.0,72.0
142,2078.0,114.0,72.0
143,2079.0,116.0,72.0
144,2080.0,120.0,72.0
145,2081.0,124.0,72.0
146,2082.0,124.0,72.0
147,2083.0,124.0,72.0
148,2084.0,123.0,72.0
149,2085.0,123.0,72.0
