,Perc value hist eoc,Num hist eoc exceedances,Num PIC exceedances
0,573.1349047851561,48.0,76.0
1,550.6649560546874,48.0,83.0
2,516.8617871093749,48.0,93.0
3,481.3391015624999,48.0,89.0
4,443.2562585449219,48.0,80.0
5,408.1460498046875,48.0,82.0
6,374.4733630371093,48.0,79.0
7,337.15515869140614,48.0,78.0
8,306.09479736328126,48.0,63.0
9,279.5271496582029,48.0,60.0
10,249.4498718261719,48.0,51.0
11,227.21244567871088,48.0,52.0
12,206.2666729736328,48.0,41.0
13,185.07582275390618,48.0,39.0
14,169.1023400878906,48.0,41.0
15,169.78202697753906,48.0,39.0
16,161.85070312499997,48.0,37.0
17,153.0147229003906,48.0,41.0
18,145.34874084472654,48.0,29.0
19,144.15786254882812,48.0,32.0
20,144.96818237304686,48.0,20.0
21,151.3521234130859,48.0,20.0
22,178.46077392578118,48.0,14.0
23,221.6446130371094,48.0,13.0
24,335.28733032226546,48.0,11.0
25,637.3481591796875,48.0,72.0
26,605.9466040039061,48.0,85.0
27,573.0706542968749,48.0,88.0
28,532.343515625,48.0,97.0
29,499.4728125,48.0,99.0
30,448.1974194335937,48.0,94.0
31,414.2131201171875,48.0,95.0
32,373.73729858398434,48.0,93.0
33,344.76268798828124,48.0,79.0
34,314.70228515625,48.0,74.0
35,289.9465075683593,48.0,70.0
36,248.91801391601558,48.0,63.0
37,224.53155944824218,48.0,50.0
38,200.91019226074218,48.0,44.0
39,181.07611328124997,48.0,42.0
40,172.14294738769527,48.0,42.0
41,162.82421691894533,48.0,41.0
42,150.04927673339836,48.0,42.0
43,147.0102978515625,48.0,31.0
44,147.42668457031246,48.0,37.0
45,151.3674114990234,48.0,28.0
46,164.4493524169921,48.0,26.0
47,180.3618054199219,48.0,19.0
48,256.98780395507794,48.0,16.0
49,369.92150634765625,48.0,8.0
50,698.8047143554686,48.0,77.0
51,670.4118408203125,48.0,91.0
52,622.0777783203125,48.0,98.0
53,593.0138256835937,48.0,100.0
54,562.2440844726564,48.0,111.0
55,519.3316259765625,48.0,117.0
56,480.81467895507814,48.0,112.0
57,424.97973266601554,48.0,107.0
58,387.268876953125,48.0,98.0
59,358.28596435546876,48.0,85.0
60,329.2990991210937,48.0,77.0
61,290.95328979492183,48.0,84.0
62,256.2122119140625,48.0,65.0
63,229.3678997802733,48.0,63.0
64,202.73941467285152,48.0,58.0
65,184.4823217773437,48.0,48.0
66,164.3829736328125,48.0,37.0
67,161.20827087402344,48.0,42.0
68,150.24394531249993,48.0,43.0
69,153.90861755371094,48.0,39.0
70,171.9758636474609,48.0,37.0
71,171.0357397460937,48.0,33.0
72,204.06189147949217,48.0,19.0
73,300.88411499023437,48.0,17.0
74,444.4690942382813,48.0,11.0
75,765.8886499023438,48.0,78.0
76,723.1704296874999,48.0,95.0
77,698.407421875,48.0,97.0
78,661.6246337890624,48.0,109.0
79,615.3492944335937,48.0,120.0
80,581.4863793945312,48.0,125.0
81,540.001418457031,48.0,132.0
82,501.6855993652343,48.0,131.0
83,454.4133764648437,48.0,129.0
84,410.1488977050781,48.0,112.0
85,374.17909667968746,48.0,92.0
86,333.23811035156245,48.0,90.0
87,298.2339941406248,48.0,81.0
88,264.96413330078116,48.0,79.0
89,234.71802124023435,48.0,72.0
90,204.39507141113282,48.0,66.0
91,185.4291943359375,48.0,54.0
92,176.03431030273435,48.0,56.0
93,173.398452758789,48.0,49.0
94,178.15635131835938,48.0,43.0
95,207.5875744628906,48.0,35.0
96,185.84061767578126,48.0,37.0
97,181.31253234863277,48.0,27.0
98,226.55269104003906,48.0,16.0
99,379.15810058593746,48.0,17.0
100,856.8717700195311,48.0,86.0
101,803.2496435546874,48.0,99.0
102,765.32142578125,48.0,105.0
103,743.1010302734373,48.0,107.0
104,700.0329467773438,48.0,121.0
105,647.2593505859375,48.0,135.0
106,617.0579711914063,48.0,139.0
107,567.1680712890624,48.0,146.0
108,528.8697729492186,48.0,132.0
109,478.9383190917968,48.0,123.0
110,440.97780883789056,48.0,112.0
111,392.1569091796875,48.0,104.0
112,348.6247631835937,48.0,90.0
113,307.69659912109375,48.0,92.0
114,273.9811987304686,48.0,79.0
115,240.10357543945307,48.0,60.0
116,214.5520526123046,48.0,59.0
117,200.56167541503908,48.0,57.0
118,205.93797058105469,48.0,57.0
119,227.13009643554685,48.0,50.0
120,225.1922888183592,48.0,48.0
121,192.33011230468747,48.0,37.0
122,186.05094421386715,48.0,25.0
123,235.20801452636718,48.0,20.0
124,466.77100219726555,48.0,17.0
125,927.3784252929688,48.0,99.0
126,895.10712890625,48.0,101.0
127,833.2800244140623,48.0,120.0
128,810.9920996093749,48.0,110.0
129,786.0234912109374,48.0,118.0
130,727.4395312499998,48.0,135.0
131,678.2136547851562,48.0,147.0
132,636.0374462890624,48.0,139.0
133,603.9835888671873,48.0,151.0
134,544.1146264648437,48.0,130.0
135,493.39305908203113,48.0,128.0
136,447.72228515624994,48.0,125.0
137,405.8555041503906,48.0,118.0
138,357.099453125,48.0,107.0
139,321.314931640625,48.0,88.0
140,288.60105957031243,48.0,83.0
141,265.21358886718747,48.0,82.0
142,257.247373046875,48.0,73.0
143,272.4252099609373,48.0,69.0
144,281.2647875976562,48.0,71.0
145,256.39071166992187,48.0,62.0
146,224.2335479736328,48.0,51.0
147,217.45387817382812,48.0,34.0
148,343.54416748046873,48.0,27.0
149,464.95811401367183,48.0,26.0
150,984.7763134765623,48.0,97.0
151,970.7178320312499,48.0,96.0
152,924.7382543945314,48.0,118.0
153,876.8478393554688,48.0,128.0
154,844.0698095703121,48.0,122.0
155,805.2049438476561,48.0,133.0
156,755.518330078125,48.0,138.0
157,701.2888500976562,48.0,138.0
158,652.6087573242188,48.0,149.0
159,610.9673364257812,48.0,132.0
160,565.0818823242187,48.0,124.0
161,518.1260009765625,48.0,123.0
162,465.15170776367194,48.0,125.0
163,412.79696289062497,48.0,126.0
164,371.22953247070313,48.0,110.0
165,346.21944213867187,48.0,92.0
166,327.41075927734374,48.0,95.0
167,337.2109582519531,48.0,104.0
168,378.5394921875,48.0,95.0
169,347.61591918945305,48.0,74.0
170,269.46219238281236,48.0,69.0
171,233.8538757324218,48.0,58.0
172,247.9311547851562,48.0,45.0
173,401.06076171874986,48.0,50.0
174,346.85808349609374,48.0,42.0
175,1031.0899511718746,48.0,94.0
176,1008.028837890625,48.0,93.0
177,982.9667846679687,48.0,114.0
178,950.1531542968748,48.0,136.0
179,908.49818359375,48.0,136.0
180,869.6059155273437,48.0,130.0
181,822.8995703124999,48.0,146.0
182,773.148642578125,48.0,128.0
183,723.3659692382812,48.0,134.0
184,669.3646533203123,48.0,146.0
185,622.7434814453125,48.0,127.0
186,574.0712622070312,48.0,125.0
187,529.0309765624999,48.0,126.0
188,481.04685913085933,48.0,115.0
189,449.7588903808593,48.0,117.0
190,426.22035400390627,48.0,105.0
191,414.8715026855468,48.0,110.0
