,PIC
402-403,311.76788330078125
403-404,954.7413940429688
404-405,103.71835327148438
405-406,338.11346435546875
406-407,147.88528442382812
407-408,134.4121551513672
408-409,294.8574523925781
409-410,302.7589416503906
410-411,205.30877685546875
411-412,1029.8040771484375
412-413,228.71607971191406
413-414,117.24488830566406
414-415,64.02679443359375
415-416,287.0832214355469
416-417,657.9376831054688
417-418,204.65631103515625
418-419,247.92649841308594
419-420,361.37738037109375
420-421,174.75694274902344
421-422,473.63348388671875
422-423,340.7608947753906
423-424,344.2679748535156
424-425,271.2557373046875
425-426,416.9006652832031
426-427,153.13360595703125
427-428,247.96592712402344
428-429,432.0333251953125
429-430,306.4107971191406
430-431,451.2771911621094
431-432,98.78360748291016
432-433,571.121826171875
433-434,416.4095153808594
434-435,266.97125244140625
435-436,258.43377685546875
436-437,431.1437683105469
437-438,332.248779296875
438-439,116.94256591796875
439-440,302.3023376464844
440-441,305.3404541015625
441-442,535.5127563476562
442-443,336.0762939453125
443-444,73.53321838378906
444-445,439.3931884765625
445-446,457.1630554199219
446-447,512.1151733398438
447-448,130.46617126464844
448-449,555.24853515625
449-450,416.05560302734375
450-451,1075.95654296875
451-452,194.9705352783203
452-453,554.3984985351562
453-454,399.26251220703125
454-455,283.0989990234375
455-456,170.2101593017578
456-457,435.614501953125
457-458,461.76251220703125
458-459,258.0194396972656
459-460,748.615966796875
460-461,424.64874267578125
461-462,690.5363159179688
462-463,166.1280975341797
463-464,191.99156188964844
464-465,320.42547607421875
465-466,290.9764099121094
466-467,557.0101318359375
467-468,448.6946716308594
468-469,501.2663269042969
469-470,402.097900390625
470-471,337.6431884765625
471-472,378.6098327636719
472-473,273.8109436035156
473-474,279.2581787109375
474-475,380.9778137207031
475-476,329.3840026855469
476-477,470.4512634277344
477-478,332.8249816894531
478-479,197.1997833251953
479-480,79.89311218261719
480-481,668.3272094726562
481-482,123.00061798095703
482-483,210.83152770996094
483-484,219.44076538085938
484-485,605.02001953125
485-486,215.77139282226562
486-487,398.9645080566406
487-488,177.30990600585938
488-489,382.93634033203125
489-490,312.3997497558594
490-491,534.91357421875
491-492,213.6587371826172
492-493,172.61849975585938
493-494,253.45040893554688
494-495,383.2297668457031
495-496,481.4168701171875
496-497,117.2620620727539
497-498,443.2383728027344
498-499,98.80274963378906
499-500,585.2391967773438
500-501,590.1240234375
501-502,272.51629638671875
502-503,234.4727325439453
503-504,223.05377197265625
504-505,560.6971435546875
505-506,603.6749267578125
506-507,103.38398742675781
507-508,186.7755584716797
508-509,184.4716033935547
509-510,670.2346801757812
510-511,299.69146728515625
511-512,494.1111145019531
512-513,572.64501953125
513-514,358.7359313964844
514-515,180.333740234375
515-516,570.9161376953125
516-517,792.5731201171875
517-518,146.52044677734375
518-519,231.8738555908203
519-520,272.660400390625
520-521,826.6975708007812
521-522,253.16517639160156
522-523,111.01063537597656
523-524,332.6064758300781
524-525,217.33135986328125
525-526,383.2248840332031
526-527,361.7037658691406
527-528,351.51361083984375
528-529,295.6632995605469
529-530,190.3223114013672
530-531,390.8545837402344
531-532,274.7666931152344
532-533,432.7807312011719
533-534,97.236083984375
534-535,751.2276000976562
535-536,773.6142578125
536-537,371.2572326660156
537-538,81.14700317382812
538-539,66.59565734863281
539-540,185.8514862060547
540-541,522.7644653320312
541-542,248.1062469482422
542-543,284.58160400390625
543-544,337.4151611328125
544-545,180.03073120117188
545-546,323.3290100097656
546-547,185.9825897216797
547-548,426.2858581542969
548-549,704.0476684570312
549-550,166.3596649169922
550-551,100.42804718017578
551-552,541.6217651367188
552-553,667.16015625
553-554,218.5784149169922
554-555,148.49093627929688
555-556,244.35873413085938
556-557,312.50531005859375
557-558,233.61563110351562
558-559,468.071533203125
559-560,483.2587890625
560-561,197.73001098632812
561-562,212.71914672851562
562-563,438.5201110839844
563-564,244.41177368164062
564-565,338.02862548828125
565-566,306.6696472167969
566-567,737.5902709960938
567-568,951.6721801757812
568-569,158.68508911132812
569-570,152.41175842285156
570-571,210.9178009033203
571-572,138.17344665527344
572-573,475.8837585449219
573-574,146.04867553710938
574-575,886.8876953125
575-576,277.6873779296875
576-577,324.54327392578125
577-578,270.106201171875
578-579,419.2987365722656
579-580,184.27320861816406
580-581,505.7210998535156
581-582,138.8445587158203
582-583,89.20680236816406
583-584,399.53350830078125
584-585,616.9168701171875
585-586,538.62646484375
586-587,247.46463012695312
587-588,277.30438232421875
588-589,190.15023803710938
589-590,289.0404357910156
590-591,739.8721923828125
591-592,779.079833984375
592-593,121.21853637695312
593-594,250.5135498046875
594-595,209.75335693359375
595-596,333.9287109375
596-597,396.6372375488281
597-598,537.47509765625
598-599,209.2827606201172
599-600,611.5833129882812
600-601,340.7376403808594
601-602,398.1576843261719
602-603,141.8648681640625
603-604,834.7399291992188
604-605,326.51373291015625
605-606,361.0873107910156
606-607,281.99871826171875
607-608,354.7936706542969
608-609,401.26690673828125
609-610,258.1844482421875
