,LA_300km_mm_total,LA_200km_mm_total,LA_100km_mm_total,SF_300km_mm_total,SF_200km_mm_total,SF_100km_mm_total
0,266.0538506966371,219.3234080443991,189.6842726160971,542.1583418051401,579.5027880271276,595.8780938533887
1,438.9153926555927,337.8361765475983,268.76292639368035,532.6666733423868,593.5416767332289,636.7109677562975
2,242.23077404842928,205.08298229473704,186.99326156381142,665.7750126520792,728.4083442687988,795.1397403494952
3,542.6769332071909,440.3914977495975,361.79326468572185,469.1250074704488,529.9277865621779,566.3452159476607
4,545.1153895304753,451.8361778056368,385.9696697920896,636.4333438873291,721.5500128004286,764.9383685490857
5,699.4077023726243,535.4446895173255,432.6157374114133,790.8000122706095,885.9805691507128,915.3397418374884
6,334.8615485796562,269.7042607842608,236.0932624249646,404.3916729340951,453.0750067565176,493.6972666276644
7,560.0846255375789,439.80851828798336,371.7483213014817,805.0583481788635,883.6138998667399,919.1767259623906
8,438.330780341075,342.3085175955549,287.58764593504117,525.0666751861572,599.3500113752153,649.4890525373694
9,528.3769319974459,419.6063911001733,360.8438272670414,661.7250112295151,732.1000117328432,777.4096007216467
10,277.4846204943382,229.342556793639,190.17865469917822,279.05000281333923,310.29722642401856,340.0767185487976
11,319.1307748556137,237.88723866736635,191.2202283428626,286.0000066757202,314.10556173324585,348.8876782247465
12,666.9923143386841,498.31277141165225,412.67753368616104,821.7583530743917,892.3083477550083,936.8260433935139
13,510.20001007960394,417.48724063913875,359.28539863262284,683.433341105779,744.3277885185348,758.4753556725097
14,558.2307843428391,441.7212869157182,386.8786595215958,743.4000114599863,777.5583464701971,800.2657667284143
15,335.96154326658984,273.7914938254559,236.55618373246006,427.22500642140704,476.26389686266583,511.6904198306881
16,412.17693088375603,327.00638797625584,271.11236389785,353.00833853085834,422.7638974587123,471.8013787596193
17,279.26154562143176,232.7000049986738,213.17079088928995,537.5833415985107,557.3750076293945,577.4767215480543
18,365.26923788510834,306.9319196964832,272.8427009073536,292.97500534852344,351.40556093388136,383.10548585653305
19,300.61538989727313,233.35319583973987,200.58876751128878,582.6833419799805,677.4527880880568,715.4698728927194
20,608.3615513581497,476.39362636145125,399.05169289266126,523.6750076611837,602.9361211723751,665.9356275192679
21,289.6153901173518,229.1170248325835,196.86292482393512,448.3416751722495,489.1750082241164,502.1383658680197
22,209.307695718912,165.00638578039533,142.4280922573604,245.73333716392517,261.8666700919469,274.1739767671448
23,197.24615768285898,173.04893942082182,163.5674188652735,523.8416748046875,550.1583404541016,569.797269403118
24,244.67692863024197,191.27872646615862,163.5123623073771,413.8083385626475,437.76389510350094,445.0808285682985
25,548.7077014629657,439.31490293462224,368.72809685749957,616.9583470026652,689.3639010323418,758.3548071090489
26,276.42308143469006,225.48723827524387,192.57977889997235,445.5000074704488,507.08334072430927,543.9260356132298
27,287.04615886394794,230.7617059869969,196.56854248130588,342.650004863739,392.808338854048,415.3465812500209
28,307.1153906537936,252.56170711174926,213.95056550271727,440.7250089645386,495.83612116177875,517.5369964299136
29,289.3153885912437,236.55106769565572,196.08090213979227,282.10833750168484,312.26111587550906,334.46849816629333
30,553.6692414100354,446.3149012124285,376.97753509410313,508.07500918706256,568.3055645094978,606.2137080937216
31,313.638465821743,246.43404797100007,211.768543543608,375.5250059366226,399.80000731017856,423.313705872183
32,321.16154490984405,221.86170609136846,174.19101439165266,334.4250058022638,397.3138971924782,430.8178172268688
33,500.2153957073505,406.42553934137874,360.18090519744356,533.8833435376486,592.2972312768301,641.8191890063351
34,352.0230817244603,300.24894140629056,272.3000043823143,542.2583422660828,621.1583437124888,681.9465851522472
35,693.8461667207571,545.9893715670134,452.4000077028288,600.1833432589968,659.6416757930484,690.7082295921975
36,663.9692443471688,508.98724237211206,432.30450118358215,814.2000137964884,912.9583476649391,1024.3507018448556
37,434.70000995580966,333.57660274841686,278.1831518925643,288.29167286554974,315.85278334882526,349.65617009384994
38,337.8923165614788,288.59787862097966,271.1269709708985,735.3000123500824,794.0027920603752,841.1137144830946
39,849.3153985096858,662.8893708726193,553.7348404037818,829.5083453655243,939.152790400717,973.6602891961189
40,281.5384665269118,248.87447171515606,233.84494704476904,634.7833485603333,692.4166808128357,728.5945345604256
41,633.5923215059133,471.91490152034356,376.42472534233264,578.0166759490967,660.3750118149651,732.4096015250847
42,585.5846278484051,428.0361784512692,345.4056245714761,424.3666783173879,465.0083437230852,473.5986394882202
43,464.9153955257856,375.11064568225373,326.33146731103403,515.1250080267588,576.944455491172,632.3534359931946
44,348.33077669143677,272.21489932181987,229.52472386936122,455.8250066439311,529.5055645041996,579.875354884422
45,385.6538540033194,280.00000520969957,227.19551010111743,361.00833980242413,413.3250081009335,453.0753503564286
46,210.32308045488136,166.57021536345178,141.925844989131,254.76667141914368,300.5472271475527,327.63288179693154
47,277.8461597527449,231.11277027808606,207.08876765008722,454.90834152698517,505.16389717327223,523.2068580915667
48,313.61539004399225,245.54255735113264,205.5280932611629,452.9083399772644,500.275008837382,526.7753519946582
49,185.99231167022998,154.81276925066683,142.83371053066816,577.0250126520792,627.3277905252245,651.8424790983331
50,748.5615538817185,552.2659670444245,447.7247268979469,781.350020567576,853.1361258824667,898.5643991574849
51,315.33077482076794,259.02766482880776,220.94157740071918,517.0000091542801,561.3361230952045,591.9164490560963
52,440.2153939100412,340.9085171653869,283.5573087244221,418.89167563120526,491.45556547906665,553.8931610682239
53,309.42308275516217,244.75106780833386,214.39663258847895,398.5000061591466,441.8250077433056,465.72877472067535
54,317.0461594221684,235.66170579543774,199.29326133496977,720.1666775544485,782.8444581942426,821.3520669430902
55,277.87692700899566,215.88511034275624,174.43034005466473,296.2083371654153,340.1666712702976,371.1684983499246
56,573.0077000397903,448.3851131073972,376.439331449652,735.316682100296,818.3527934816149,853.7835775009573
57,189.9846198788056,154.13191738819822,136.96292380101227,375.9916715621948,421.1777835885684,451.4753491257968
58,255.41539005820567,222.61489838869014,194.51236349528426,373.291674648722,421.3555628458659,453.54795291876957
59,182.83846313678302,151.90000216504362,144.03370999687172,396.3833417892456,448.6000077459547,494.9917885897911
60,544.3384695786697,419.9851120076281,348.6134873320547,547.3750114440918,611.6305658552382,665.0438461826272
61,185.76154190531145,165.62127961947562,163.2977554161897,462.9500110944112,503.86389746930865,519.7095974293882
62,223.67692645696494,176.01489671050234,145.0809015872773,317.0833395123482,355.64445105195045,380.33562391261535
63,205.66154157198392,183.02979005144,172.87528343013165,513.8250099023184,592.1111223697662,643.9904222815004
64,523.9692407387954,400.8787307384166,327.96854532635615,466.46667571862537,517.305565112167,549.3904200318741
65,455.12308529248605,344.6766020772939,287.9719151509612,721.8083451191584,762.9444551070532,800.5849433075891
66,343.69231392787054,267.0383029998617,227.76629606542292,439.12500556310016,476.36111799875897,503.8232949661882
67,748.4615510793833,567.7553298879177,488.070795205202,774.0666807492574,900.27223777771,983.1054948258073
68,273.6153903924502,236.780855289165,215.6898915792784,606.8083397547404,676.3222331470913,714.7589154831351
69,331.0615451519306,251.1851111168557,211.0494418299935,547.6833424568176,593.6694548063808,637.3685050304622
70,212.7307751430915,157.17234367607756,134.29326090317093,280.27500660220784,334.2472279133896,377.87397918431725
71,577.1077035757212,468.96383886134373,422.0977603076549,806.8250125249227,875.8305702209473,868.9356310073643
72,385.2461610940787,313.99787809493694,278.35843153364874,671.1916743119558,752.9611212942335,809.1931620036086
73,332.3230819243651,268.2978765305052,224.18202619773618,502.46667257944745,568.8027878602346,614.3972720773253
74,189.6000028206752,180.43404503388606,167.76966549673776,129.82500112056732,159.53055800994238,208.34657871233273
75,214.23846435546875,162.70425820350647,130.88764260826485,205.25833749771118,209.85000361336603,211.54931881819687
76,885.5230929576434,702.2127779912441,596.1809096913994,775.4166776339213,866.6527910232544,929.2493303507974
77,607.4615493187538,475.32979640554873,395.21686115425626,518.3916784922282,581.5777887503306,596.8959001776291
78,686.7077036270729,522.2851135007878,441.57079278468416,660.7333466211954,734.5639014773899,768.8301503690955
79,271.6230829564425,238.81277051504622,215.82135212103302,412.8750056227048,471.55000701049966,499.34247380209297
80,383.6000080842238,316.3638359029242,283.4707916698764,842.7166798909506,877.0527951452467,875.868508626337
81,757.0461667867808,614.9404355515825,541.5932676604624,1007.1000175476074,1086.8583490583633,1127.197280439612
82,218.18461804206555,182.5957474099829,165.77977814282593,533.1500102678934,616.3361202743318,671.0959010222186
83,356.1923130475558,283.93617546812015,253.25281381021054,459.9750150044759,488.19445504082574,505.19042064719
84,447.93077872349664,392.6723473934417,355.453939269098,806.3833471934,858.8527913093567,879.0191938321884
85,234.984617966872,207.21064106961515,195.01460961009678,365.60000408689183,407.15556309454973,432.50685667093484
86,306.20000472435584,259.83830246519534,241.11910552305451,357.53333926200867,399.50278490781784,423.0178146786886
87,271.08461915529693,212.7085143961805,182.7067448039738,415.88333956400555,488.4361177020603,550.3137065155865
88,185.84615641373856,143.14681089431681,122.98539516195822,266.2083398575584,297.93611629431444,316.84247095740005
89,437.8461602651156,359.5148998232598,302.1494437513057,417.5083408355713,456.6944533056683,468.5369939412156
90,587.9384764983104,468.10426355169176,393.7629279721989,461.91667675971985,514.7889011171129,541.0506957622424
91,806.1615514904261,630.6000111248899,540.0854028490153,721.8166798750559,810.1250148713589,857.0164518809482
92,310.1692369901217,253.54255777724245,215.96292549639605,347.86667184034985,380.8444489505556,402.51233472562814
93,726.1000091846173,576.8638390886023,495.7067497419507,866.6916809082031,968.325016366111,1029.33289414236
94,352.75385255080005,277.20638733404746,243.42247535824106,688.0166835288206,727.6611257692178,762.9986449508634
95,392.79231375914355,308.30851533691936,277.07528521572607,634.1000138918558,714.036123626762,758.127411780292
96,829.4692400418795,649.8340520047127,548.3460750084245,975.1666774749756,1044.8361277050442,1078.1959081153348
97,221.5384653531588,183.2510667861776,164.84269933519738,534.1666760444641,579.9666764736176,621.4219292026677
98,299.9923109458043,242.72979014509536,213.22921549353038,584.8583432435989,636.2805673413807,666.4424784787714
99,391.2230835178724,312.3085160233239,267.69775741505487,374.2500057220459,411.4722293615341,434.23288563669547
100,171.46923277928278,135.62553390289875,126.526968308714,564.7916787465414,607.5472315682305,631.8109693919142
101,447.74616236870105,351.8404317682094,292.96854434823723,601.325009504954,637.6277895503574,668.9794649489938
102,292.7230823957003,238.6127701972393,219.63483545820364,562.1750109990438,619.7083460224999,671.1561773770476
103,793.8307870718149,614.4808618565824,521.1438290108456,629.5333449045817,686.769455909729,735.2369993549504
104,275.68462016032294,221.70000439882278,207.84831798411489,753.6750151316324,813.6444579495324,873.641110002178
105,130.47692570319543,106.47872553099977,97.56854098968292,330.8583410183589,349.65278449985715,374.1178149752421
106,353.3307767372865,269.8170267647885,234.55955536931418,443.9416717886925,480.0638955169254,503.6342548213593
107,295.63846705510065,236.95745084894463,205.58202610541596,432.80000829696655,454.2888953420851,479.3260351076518
108,433.28462287095874,350.3680913093242,310.25618541073266,456.2750072479248,512.5750082598793,555.1602829449797
109,470.13846881573016,382.29149575943643,334.63371336861945,649.3166782061259,722.0333476596409,764.0233027314487
110,211.96154168935922,176.21702419443332,153.4348340878326,318.0666703383128,364.2833386560281,400.332883073859
111,219.77692853487454,180.65106753085522,161.70000306943828,409.73334280649823,456.03612001736957,478.0411038855984
112,156.45384893050561,132.12340660361534,120.42584492015035,247.60000598430634,285.5583391189575,315.8671283819904
113,239.85384977780856,197.0702160470029,175.9820255295614,415.90834181507427,453.8333420985275,467.35891164655555
114,248.44615804232083,210.99149225620513,205.34045274739856,587.8916782538096,672.5861239168379,734.1780951839604
