,LA_300km_mm_total,LA_200km_mm_total,LA_100km_mm_total,SF_300km_mm_total,SF_200km_mm_total,SF_100km_mm_total
0,686.7077036270729,522.2851135007878,441.57079278468416,660.7333466211954,734.5639014773899,768.8301503690955
1,271.6230829564425,238.81277051504622,215.82135212103302,412.8750056227048,471.55000701049966,499.34247380209297
2,383.6000080842238,316.3638359029242,283.4707916698764,842.7166798909506,877.0527951452467,875.868508626337
3,757.0461667867808,614.9404355515825,541.5932676604624,1007.1000175476074,1086.8583490583633,1127.197280439612
4,218.18461804206555,182.5957474099829,165.77977814282593,533.1500102678934,616.3361202743318,671.0959010222186
5,356.1923130475558,283.93617546812015,253.25281381021054,459.9750150044759,488.19445504082574,505.19042064719
6,447.93077872349664,392.6723473934417,355.453939269098,806.3833471934,858.8527913093567,879.0191938321884
7,234.984617966872,207.21064106961515,195.01460961009678,365.60000408689183,407.15556309454973,432.50685667093484
8,306.20000472435584,259.83830246519534,241.11910552305451,357.53333926200867,399.50278490781784,423.0178146786886
9,271.08461915529693,212.7085143961805,182.7067448039738,415.88333956400555,488.4361177020603,550.3137065155865
10,185.84615641373856,143.14681089431681,122.98539516195822,266.2083398575584,297.93611629431444,316.84247095740005
11,437.8461602651156,359.5148998232598,302.1494437513057,417.5083408355713,456.6944533056683,468.5369939412156
12,587.9384764983104,468.10426355169176,393.7629279721989,461.91667675971985,514.7889011171129,541.0506957622424
13,806.1615514904261,630.6000111248899,540.0854028490153,721.8166798750559,810.1250148713589,857.0164518809482
14,310.1692369901217,253.54255777724245,215.96292549639605,347.86667184034985,380.8444489505556,402.51233472562814
15,726.1000091846173,576.8638390886023,495.7067497419507,866.6916809082031,968.325016366111,1029.33289414236
16,352.75385255080005,277.20638733404746,243.42247535824106,688.0166835288206,727.6611257692178,762.9986449508634
17,392.79231375914355,308.30851533691936,277.07528521572607,634.1000138918558,714.036123626762,758.127411780292
18,829.4692400418795,649.8340520047127,548.3460750084245,975.1666774749756,1044.8361277050442,1078.1959081153348
19,221.5384653531588,183.2510667861776,164.84269933519738,534.1666760444641,579.9666764736176,621.4219292026677
20,299.9923109458043,242.72979014509536,213.22921549353038,584.8583432435989,636.2805673413807,666.4424784787714
21,391.2230835178724,312.3085160233239,267.69775741505487,374.2500057220459,411.4722293615341,434.23288563669547
22,171.46923277928278,135.62553390289875,126.526968308714,564.7916787465414,607.5472315682305,631.8109693919142
23,447.74616236870105,351.8404317682094,292.96854434823723,601.325009504954,637.6277895503574,668.9794649489938
24,292.7230823957003,238.6127701972393,219.63483545820364,562.1750109990438,619.7083460224999,671.1561773770476
25,793.8307870718149,614.4808618565824,521.1438290108456,629.5333449045817,686.769455909729,735.2369993549504
26,275.68462016032294,221.70000439882278,207.84831798411489,753.6750151316324,813.6444579495324,873.641110002178
27,130.47692570319543,106.47872553099977,97.56854098968292,330.8583410183589,349.65278449985715,374.1178149752421
28,353.3307767372865,269.8170267647885,234.55955536931418,443.9416717886925,480.0638955169254,503.6342548213593
29,295.63846705510065,236.95745084894463,205.58202610541596,432.80000829696655,454.2888953420851,479.3260351076518
30,433.28462287095874,350.3680913093242,310.25618541073266,456.2750072479248,512.5750082598793,555.1602829449797
31,470.13846881573016,382.29149575943643,334.63371336861945,649.3166782061259,722.0333476596409,764.0233027314487
32,211.96154168935922,176.21702419443332,153.4348340878326,318.0666703383128,364.2833386560281,400.332883073859
33,219.77692853487454,180.65106753085522,161.70000306943828,409.73334280649823,456.03612001736957,478.0411038855984
34,156.45384893050561,132.12340660361534,120.42584492015035,247.60000598430634,285.5583391189575,315.8671283819904
35,239.85384977780856,197.0702160470029,175.9820255295614,415.90834181507427,453.8333420985275,467.35891164655555
36,248.44615804232083,210.99149225620513,205.34045274739856,587.8916782538096,672.5861239168379,734.1780951839604
