,LA_300km_mm_total,LA_200km_mm_total,LA_100km_mm_total,SF_300km_mm_total,SF_200km_mm_total,SF_100km_mm_total
0,589.6983423233032,589.6983423233032,383.0912547826767,851.818229675293,851.818229675293,653.9143013000488
1,235.62051057815552,235.62051057815552,199.23560249321162,511.05017852783203,511.05017852783203,429.6696961402893
2,298.2716760635376,298.2716760635376,248.96537160873413,1078.554588317871,1078.554588317871,766.0442840576172
3,694.2932395935059,694.2932395935059,488.69378271102903,1198.9624786376953,1198.9624786376953,957.5604286193848
4,167.09017904102802,167.09017904102802,149.2396467372775,806.4092264175415,806.4092264175415,600.4367529392242
5,264.69185638427734,264.69185638427734,210.5664412498474,534.253568649292,534.253568649292,426.57740383148194
6,416.9299087524414,416.9299087524414,318.6388816833496,1006.2895431518555,1006.2895431518555,748.8746002197265
7,158.69048500061035,158.69048500061035,168.4407112121582,414.8619270324707,414.8619270324707,361.48050289154054
8,245.15482020378113,245.15482020378113,167.98428773880005,419.56093406677246,419.56093406677246,369.86231114864347
9,206.7157106399536,206.7157106399536,156.88029718399048,635.0306510925293,635.0306510925293,477.95591259002686
10,117.63911619782448,117.63911619782448,97.19696708321571,333.2546491622925,333.2546491622925,262.4462460517883
11,358.2342007160187,358.2342007160187,256.1735925197601,494.74363708496094,494.74363708496094,375.14632682800294
12,507.2772397994995,507.2772397994995,301.3062967300415,485.805721282959,485.805721282959,395.9535188674927
13,730.2807636260986,730.2807636260986,438.5656629264355,908.933388710022,908.933388710022,692.2503085136414
14,218.18855667114258,218.18855667114258,173.84823145866395,381.35497188568115,381.35497188568115,319.3136823654175
15,679.4582805633545,679.4582805633545,430.2032646179199,1141.091381072998,1141.091381072998,881.3478546142578
16,279.4107413291931,279.4107413291931,203.68313111662866,784.7135601043701,784.7135601043701,636.082269191742
17,295.80158246308565,295.80158246308565,212.81201663315295,876.068323135376,876.068323135376,662.4448744177819
18,747.1691131591797,747.1691131591797,474.2474933624268,1042.659294128418,1042.659294128418,870.2015659332276
19,155.976957321167,155.976957321167,143.43521342277526,685.3933563232422,685.3933563232422,542.691877746582
20,235.47011542320251,235.47011542320251,187.83217653036118,718.0411243438721,718.0411243438721,527.7363619804382
21,359.33520436286926,359.33520436286926,219.64029147326946,422.30645751953125,422.30645751953125,344.46625967025756
22,124.02747816219926,124.02747816219926,117.10665144696831,659.4545936584473,659.4545936584473,510.5783939361572
23,342.52157735824585,342.52157735824585,225.47691612243653,638.634407043457,638.634407043457,553.1486742019654
24,216.16307735443115,216.16307735443115,170.04285526275635,662.6489372253418,662.6489372253418,551.9200025558472
25,713.6065464019775,713.6065464019775,412.5340000629425,713.9500122070312,713.9500122070312,547.5578147888184
26,237.1150074005127,237.1150074005127,196.6180983543396,994.6268539428711,994.6268539428711,771.2983055114746
27,95.6129503250122,95.6129503250122,86.46247680187226,461.76287841796875,461.76287841796875,357.6081950187683
28,290.6636775434017,290.6636775434017,218.3458030462265,512.3665084838867,512.3665084838867,406.20691297054293
29,239.24109649658203,239.24109649658203,179.7377624362707,539.046215057373,539.046215057373,389.7295829772949
30,320.30269384384155,320.30269384384155,241.20901222229003,551.5851573944092,551.5851573944092,458.3554267883301
31,435.45264434814453,435.45264434814453,316.59222905635835,843.2492294311523,843.2492294311523,588.0683694839478
32,212.68595695495605,212.68595695495605,155.02424654960632,471.306884765625,471.306884765625,338.2167276382446
33,196.0188865661621,196.0188865661621,146.0639309644699,539.8994598388672,539.8994598388672,369.66116123199464
34,175.10822105407715,175.10822105407715,124.35627020597458,411.3754692077637,411.3754692077637,279.14292001724243
35,194.8516960144043,194.8516960144043,137.4202579498291,468.0739974975586,468.0739974975586,346.0763887405395
36,189.79304695129395,189.79304695129395,150.6878267288208,688.0311241149902,688.0311241149902,492.5829647064209
