,PIC
0,405
1,407
2,411
3,416
4,421
5,439
6,444
7,448
8,456
9,463
10,464
11,472
12,479
13,480
14,483
15,488
16,492
17,497
18,499
19,518
20,523
21,527
22,539
23,540
24,545
25,547
26,550
27,551
28,570
29,572
30,574
31,582
32,583
33,587
34,593
35,594
36,621
37,623
38,625
39,626
40,627
41,628
42,632
43,636
44,637
45,643
46,644
47,645
48,649
49,651
50,652
51,660
52,663
53,665
54,670
55,690
56,691
57,701
58,705
59,707
60,710
61,713
62,718
63,720
64,721
65,736
66,743
67,746
68,760
69,764
70,779
71,782
72,804
73,826
74,827
75,829
76,838
77,847
78,848
79,853
80,856
81,859
82,868
83,875
84,881
85,885
86,889
87,890
88,891
89,898
90,899
91,900
92,902
93,908
94,924
95,925
96,933
97,937
98,938
99,944
100,947
101,950
102,954
103,964
104,971
105,972
106,975
107,976
108,977
109,979
110,984
111,986
112,990
113,998
114,1003
115,1005
116,1010
117,1014
118,1015
119,1025
120,1032
121,1039
122,1046
123,1047
124,1050
125,1053
126,1062
127,1066
128,1068
129,1076
130,1080
131,1093
132,1104
133,1105
134,1109
135,1110
136,1116
137,1118
138,1121
139,1128
140,1134
141,1135
142,1140
143,1142
144,1143
145,1145
146,1148
147,1149
148,1151
149,1156
150,1157
151,1165
152,1170
153,1176
154,1177
155,1178
156,1179
157,1183
158,1184
159,1189
160,1195
161,1200
162,1201
163,1209
164,1212
165,1213
166,1214
167,1216
168,1219
169,1220
170,1226
171,1232
172,1235
173,1247
174,1253
175,1254
176,1258
177,1259
178,1260
179,1262
180,1264
181,1265
182,1266
183,1278
184,1282
185,1285
186,1286
187,1292
188,1294
189,1304
190,1316
191,1321
192,1323
193,1326
194,1330
195,1331
196,1333
197,1352
198,1358
199,1362
200,1365
201,1374
202,1378
203,1380
204,1385
205,1388
206,1393
207,1397
208,1406
209,1414
210,1415
211,1416
212,1417
213,1429
214,1432
215,1434
216,1436
217,1448
218,1451
219,1458
220,1459
221,1466
222,1476
223,1478
224,1483
225,1494
226,1495
227,1498
228,1499
229,1504
230,1506
231,1508
232,1510
233,1511
234,1517
235,1527
236,1528
237,1533
238,1534
239,1543
240,1548
241,1554
242,1562
243,1565
244,1566
245,1567
246,1569
247,1576
248,1581
249,1589
250,1591
251,1599
252,1601
253,1606
254,1616
255,1622
256,1624
257,1628
258,1629
259,1633
260,1635
261,1637
262,1640
263,1649
264,1653
265,1655
266,1660
267,1665
268,1699
269,1721
270,1727
271,1733
272,1735
273,1736
274,1745
275,1749
276,1754
277,1755
278,1757
279,1759
280,1767
281,1770
282,1771
283,1772
284,1777
285,1789
286,1790
287,1796
288,1802
289,1804
290,1805
291,1813
292,1816
293,1826
294,1840
295,1842
296,1851
297,1859
298,1863
299,1875
300,1878
301,1881
302,1898
303,1901
304,1917
305,1922
306,1936
307,1941
308,1947
309,1959
310,1961
311,1975
312,1980
313,1981
314,1983
315,1991
316,1993
317,2000
318,2016
319,2028
320,2029
321,2030
322,2035
323,2039
324,2043
325,2044
326,2055
327,2058
328,2066
329,2067
330,2069
331,2071
332,2075
333,2076
334,2081
335,2086
336,2088
337,2090
338,2092
339,2093
340,2094
341,2098
342,2101
343,2102
344,2113
345,2114
346,2118
347,2119
348,2123
349,2130
350,2133
351,2149
352,2152
353,2157
354,2168
355,2175
356,2190
357,2191
358,2192
359,2198
