,Wet/dry ratio (mean across 40 ensemble members)
1921-01-15,0.6666666666666666
1922-01-15,4.333333333333334
1923-01-15,0.9090909090909091
1924-01-15,1.0
1925-01-15,0.625
1926-01-15,1.125
1927-01-15,0.8
1928-01-15,0.5
1929-01-15,1.125
1930-01-15,1.5555555555555554
1931-01-15,0.888888888888889
1932-01-15,0.2727272727272727
1933-01-15,2.0
1934-01-15,1.125
1935-01-15,0.625
1936-01-15,1.0
1937-01-15,0.33333333333333337
1938-01-15,1.25
1939-01-15,0.8749999999999999
1940-01-15,1.5
1941-01-15,0.6666666666666666
1942-01-15,0.4444444444444445
1943-01-15,1.6666666666666667
1944-01-15,1.3333333333333335
1945-01-15,1.7142857142857144
1946-01-15,0.5555555555555556
1947-01-15,0.33333333333333337
1948-01-15,0.8571428571428572
1949-01-15,0.9
1950-01-15,1.1666666666666667
1951-01-15,0.7777777777777777
1952-01-15,1.0
1953-01-15,1.0
1954-01-15,0.7142857142857143
1955-01-15,0.888888888888889
1956-01-15,3.75
1957-01-15,0.23076923076923075
1958-01-15,2.0
1959-01-15,0.25
1960-01-15,1.5
1961-01-15,0.7
1962-01-15,0.15384615384615385
1963-01-15,0.888888888888889
1964-01-15,1.4285714285714286
1965-01-15,2.75
1966-01-15,0.8
1967-01-15,1.5
1968-01-15,0.5
1969-01-15,2.0
1970-01-15,3.4999999999999996
1971-01-15,1.4285714285714286
1972-01-15,1.4285714285714286
1973-01-15,0.8749999999999999
1974-01-15,1.6
1975-01-15,0.4285714285714286
1976-01-15,2.9999999999999996
1977-01-15,2.3333333333333335
1978-01-15,1.142857142857143
1979-01-15,1.2222222222222223
1980-01-15,2.25
1981-01-15,1.375
1982-01-15,3.3333333333333335
1983-01-15,2.8333333333333335
1984-01-15,1.4285714285714286
1985-01-15,0.7857142857142858
1986-01-15,0.4666666666666666
1987-01-15,0.8
1988-01-15,2.666666666666667
1989-01-15,1.4
1990-01-15,0.8749999999999999
1991-01-15,0.7777777777777777
1992-01-15,1.7499999999999998
1993-01-15,6.0
1994-01-15,1.142857142857143
1995-01-15,0.8333333333333334
1996-01-15,0.8749999999999999
1997-01-15,4.666666666666667
1998-01-15,1.3333333333333335
1999-01-15,0.8181818181818181
2000-01-15,0.9
2001-01-15,1.2857142857142858
2002-01-15,1.4285714285714286
2003-01-15,1.3333333333333333
2004-01-15,1.125
2005-01-15,1.5555555555555554
2006-01-15,0.4285714285714286
2007-01-15,1.4444444444444444
2008-01-15,1.2222222222222223
2009-01-15,1.0
2010-01-15,2.0
2011-01-15,0.7777777777777777
2012-01-15,1.0
2013-01-15,2.0
2014-01-15,5.333333333333334
2015-01-15,2.0
2016-01-15,1.0
2017-01-15,0.45454545454545453
2018-01-15,2.0
2019-01-15,1.1111111111111112
2020-01-15,0.4117647058823529
2021-01-15,1.0
2022-01-15,1.8333333333333335
2023-01-15,0.8
2024-01-15,0.6
2025-01-15,0.9090909090909091
2026-01-15,0.9166666666666667
2027-01-15,1.3333333333333333
2028-01-15,0.6666666666666666
2029-01-15,1.125
2030-01-15,0.7142857142857143
2031-01-15,0.6666666666666667
2032-01-15,2.142857142857143
2033-01-15,6.0
2034-01-15,0.5384615384615384
2035-01-15,0.3125
2036-01-15,0.3076923076923077
2037-01-15,0.7142857142857143
2038-01-15,1.875
2039-01-15,1.0
2040-01-15,1.0
2041-01-15,1.0
2042-01-15,1.1
2043-01-15,0.9090909090909091
2044-01-15,0.7692307692307692
2045-01-15,0.9090909090909091
2046-01-15,1.0
2047-01-15,1.2
2048-01-15,1.4444444444444444
2049-01-15,1.6
2050-01-15,1.1111111111111112
2051-01-15,1.2857142857142858
2052-01-15,1.8888888888888888
2053-01-15,1.1111111111111112
2054-01-15,0.5
2055-01-15,1.5
2056-01-15,1.625
2057-01-15,1.4999999999999998
2058-01-15,0.6
2059-01-15,2.3333333333333335
2060-01-15,4.25
2061-01-15,1.4
2062-01-15,2.8
2063-01-15,1.1818181818181817
2064-01-15,0.8181818181818181
2065-01-15,1.0
2066-01-15,1.2222222222222223
2067-01-15,1.3333333333333333
2068-01-15,1.1818181818181817
2069-01-15,1.4
2070-01-15,1.0
2071-01-15,2.111111111111111
2072-01-15,2.8333333333333335
2073-01-15,0.9090909090909091
2074-01-15,0.7857142857142858
2075-01-15,1.1
2076-01-15,1.8888888888888888
2077-01-15,1.4999999999999998
2078-01-15,0.6666666666666667
2079-01-15,0.75
2080-01-15,0.923076923076923
2081-01-15,5.0
2082-01-15,3.3333333333333335
2083-01-15,1.6666666666666665
2084-01-15,1.1
2085-01-15,1.1818181818181817
2086-01-15,2.5
2087-01-15,1.2727272727272725
2088-01-15,0.9285714285714287
2089-01-15,1.5714285714285716
2090-01-15,1.625
2091-01-15,1.625
2092-01-15,0.6363636363636362
2093-01-15,0.9285714285714287
2094-01-15,3.2
2095-01-15,0.9
2096-01-15,0.625
2097-01-15,2.166666666666667
2098-01-15,1.875
2099-01-15,1.125
2100-01-15,1.875
