,Wet/dry ratio (mean across 40 ensemble members)
1921-01-15,0.625
1922-01-15,2.3333333333333335
1923-01-15,1.0
1924-01-15,1.8333333333333335
1925-01-15,0.7499999999999999
1926-01-15,0.9090909090909091
1927-01-15,0.9166666666666667
1928-01-15,0.45454545454545453
1929-01-15,0.6666666666666666
1930-01-15,3.0
1931-01-15,0.5555555555555556
1932-01-15,0.6666666666666667
1933-01-15,1.2857142857142858
1934-01-15,0.4166666666666667
1935-01-15,0.5454545454545454
1936-01-15,3.0
1937-01-15,0.4444444444444445
1938-01-15,1.2222222222222223
1939-01-15,0.7499999999999999
1940-01-15,1.142857142857143
1941-01-15,0.6363636363636362
1942-01-15,0.4444444444444445
1943-01-15,0.8
1944-01-15,1.125
1945-01-15,1.7499999999999998
1946-01-15,0.7142857142857143
1947-01-15,0.45454545454545453
1948-01-15,0.5
1949-01-15,1.1666666666666667
1950-01-15,1.8
1951-01-15,0.8749999999999999
1952-01-15,0.5
1953-01-15,1.1111111111111112
1954-01-15,1.0
1955-01-15,1.0
1956-01-15,1.5714285714285716
1957-01-15,0.5
1958-01-15,2.5
1959-01-15,0.7777777777777777
1960-01-15,2.0
1961-01-15,0.888888888888889
1962-01-15,0.2142857142857143
1963-01-15,0.7272727272727273
1964-01-15,1.5
1965-01-15,2.75
1966-01-15,0.4285714285714286
1967-01-15,0.7777777777777777
1968-01-15,0.45454545454545453
1969-01-15,1.1666666666666667
1970-01-15,2.25
1971-01-15,1.1666666666666667
1972-01-15,1.0
1973-01-15,1.0
1974-01-15,4.0
1975-01-15,1.125
1976-01-15,1.5
1977-01-15,2.0
1978-01-15,0.5384615384615384
1979-01-15,1.2857142857142858
1980-01-15,1.0
1981-01-15,0.5
1982-01-15,1.375
1983-01-15,4.666666666666667
1984-01-15,2.166666666666667
1985-01-15,0.6923076923076923
1986-01-15,0.888888888888889
1987-01-15,0.7
1988-01-15,0.5555555555555556
1989-01-15,2.0
1990-01-15,2.25
1991-01-15,0.6153846153846154
1992-01-15,0.888888888888889
1993-01-15,3.3333333333333335
1994-01-15,0.5833333333333334
1995-01-15,0.7272727272727273
1996-01-15,0.5454545454545454
1997-01-15,1.4999999999999998
1998-01-15,0.5384615384615384
1999-01-15,0.6666666666666666
2000-01-15,0.8333333333333334
2001-01-15,1.8
2002-01-15,0.5454545454545454
2003-01-15,1.142857142857143
2004-01-15,1.0
2005-01-15,1.6666666666666665
2006-01-15,0.7
2007-01-15,0.6666666666666666
2008-01-15,1.0
2009-01-15,1.2
2010-01-15,1.375
2011-01-15,0.4
2012-01-15,0.8749999999999999
2013-01-15,1.0
2014-01-15,17.0
2015-01-15,7.5
2016-01-15,0.4166666666666667
2017-01-15,0.5555555555555556
2018-01-15,2.4
2019-01-15,1.2857142857142858
2020-01-15,0.7
2021-01-15,1.0833333333333335
2022-01-15,1.2
2023-01-15,0.7272727272727273
2024-01-15,1.125
2025-01-15,1.142857142857143
2026-01-15,1.0909090909090908
2027-01-15,1.1
2028-01-15,0.8571428571428572
2029-01-15,1.142857142857143
2030-01-15,0.6428571428571429
2031-01-15,0.9
2032-01-15,1.7142857142857144
2033-01-15,3.25
2034-01-15,1.0
2035-01-15,0.6
2036-01-15,0.5333333333333333
2037-01-15,1.7142857142857144
2038-01-15,2.142857142857143
2039-01-15,1.6
2040-01-15,0.9
2041-01-15,0.8
2042-01-15,1.1111111111111112
2043-01-15,1.4285714285714286
2044-01-15,1.0
2045-01-15,1.0
2046-01-15,1.4285714285714286
2047-01-15,1.4285714285714286
2048-01-15,2.142857142857143
2049-01-15,1.3333333333333335
2050-01-15,0.8461538461538461
2051-01-15,1.0
2052-01-15,2.8333333333333335
2053-01-15,0.9090909090909091
2054-01-15,0.7
2055-01-15,1.3
2056-01-15,1.5
2057-01-15,1.1666666666666667
2058-01-15,1.7142857142857144
2059-01-15,2.142857142857143
2060-01-15,3.4999999999999996
2061-01-15,1.8571428571428574
2062-01-15,5.333333333333334
2063-01-15,1.875
2064-01-15,1.1111111111111112
2065-01-15,1.7142857142857144
2066-01-15,1.1666666666666667
2067-01-15,3.2
2068-01-15,3.4999999999999996
2069-01-15,1.5555555555555554
2070-01-15,2.0
2071-01-15,1.6
2072-01-15,4.0
2073-01-15,1.875
2074-01-15,1.0
2075-01-15,2.4
2076-01-15,2.428571428571429
2077-01-15,1.2222222222222223
2078-01-15,0.888888888888889
2079-01-15,1.375
2080-01-15,1.1666666666666667
2081-01-15,4.0
2082-01-15,5.666666666666667
2083-01-15,2.428571428571429
2084-01-15,1.5714285714285716
2085-01-15,1.3
2086-01-15,3.4999999999999996
2087-01-15,1.7499999999999998
2088-01-15,1.3636363636363635
2089-01-15,3.0
2090-01-15,3.2
2091-01-15,1.875
2092-01-15,1.8
2093-01-15,2.428571428571429
2094-01-15,6.0
2095-01-15,5.333333333333334
2096-01-15,1.0
2097-01-15,1.8571428571428574
2098-01-15,3.8
2099-01-15,1.8
2100-01-15,3.6
