,year (30yr window),PIC whiplash count (normalized equiv. to RCP),RCP whiplash count (normalized per year),Full PIC whiplash counts across 1798 years,Full RCP whiplash counts (over 40ens members + 30 year windows)
0,1935.0,1.2458286985539488,1.2333333333333334,56.0,37.0
1,1936.0,1.2458286985539488,1.2,56.0,36.0
2,1937.0,1.2458286985539488,1.2,56.0,36.0
3,1938.0,1.2458286985539488,1.2666666666666666,56.0,38.0
4,1939.0,1.2458286985539488,1.2333333333333334,56.0,37.0
5,1940.0,1.2458286985539488,1.1333333333333333,56.0,34.0
6,1941.0,1.2458286985539488,1.1333333333333333,56.0,34.0
7,1942.0,1.2458286985539488,1.1666666666666667,56.0,35.0
8,1943.0,1.2458286985539488,1.1,56.0,33.0
9,1944.0,1.2458286985539488,1.2,56.0,36.0
10,1945.0,1.2458286985539488,1.1333333333333333,56.0,34.0
11,1946.0,1.2458286985539488,1.1666666666666667,56.0,35.0
12,1947.0,1.2458286985539488,1.1333333333333333,56.0,34.0
13,1948.0,1.2458286985539488,1.0333333333333334,56.0,31.0
14,1949.0,1.2458286985539488,1.0333333333333334,56.0,31.0
15,1950.0,1.2458286985539488,1.0333333333333334,56.0,31.0
16,1951.0,1.2458286985539488,1.0333333333333334,56.0,31.0
17,1952.0,1.2458286985539488,1.1666666666666667,56.0,35.0
18,1953.0,1.2458286985539488,1.1666666666666667,56.0,35.0
19,1954.0,1.2458286985539488,1.1,56.0,33.0
20,1955.0,1.2458286985539488,1.0666666666666667,56.0,32.0
21,1956.0,1.2458286985539488,1.1333333333333333,56.0,34.0
22,1957.0,1.2458286985539488,1.1333333333333333,56.0,34.0
23,1958.0,1.2458286985539488,1.1333333333333333,56.0,34.0
24,1959.0,1.2458286985539488,1.1333333333333333,56.0,34.0
25,1960.0,1.2458286985539488,1.1666666666666667,56.0,35.0
26,1961.0,1.2458286985539488,1.2,56.0,36.0
27,1962.0,1.2458286985539488,1.1333333333333333,56.0,34.0
28,1963.0,1.2458286985539488,1.1666666666666667,56.0,35.0
29,1964.0,1.2458286985539488,1.2333333333333334,56.0,37.0
30,1965.0,1.2458286985539488,1.1333333333333333,56.0,34.0
31,1966.0,1.2458286985539488,1.1666666666666667,56.0,35.0
32,1967.0,1.2458286985539488,1.1333333333333333,56.0,34.0
33,1968.0,1.2458286985539488,1.1,56.0,33.0
34,1969.0,1.2458286985539488,1.1,56.0,33.0
35,1970.0,1.2458286985539488,1.3333333333333333,56.0,40.0
36,1971.0,1.2458286985539488,1.2333333333333334,56.0,37.0
37,1972.0,1.2458286985539488,1.2666666666666666,56.0,38.0
38,1973.0,1.2458286985539488,1.1333333333333333,56.0,34.0
39,1974.0,1.2458286985539488,1.0666666666666667,56.0,32.0
40,1975.0,1.2458286985539488,1.1333333333333333,56.0,34.0
41,1976.0,1.2458286985539488,1.0666666666666667,56.0,32.0
42,1977.0,1.2458286985539488,1.1333333333333333,56.0,34.0
43,1978.0,1.2458286985539488,1.1666666666666667,56.0,35.0
44,1979.0,1.2458286985539488,1.1,56.0,33.0
45,1980.0,1.2458286985539488,1.0666666666666667,56.0,32.0
46,1981.0,1.2458286985539488,0.9666666666666667,56.0,29.0
47,1982.0,1.2458286985539488,1.0333333333333334,56.0,31.0
48,1983.0,1.2458286985539488,1.0333333333333334,56.0,31.0
49,1984.0,1.2458286985539488,1.1333333333333333,56.0,34.0
50,1985.0,1.2458286985539488,1.2333333333333334,56.0,37.0
51,1986.0,1.2458286985539488,1.2,56.0,36.0
52,1987.0,1.2458286985539488,1.2333333333333334,56.0,37.0
53,1988.0,1.2458286985539488,1.2,56.0,36.0
54,1989.0,1.2458286985539488,1.1666666666666667,56.0,35.0
55,1990.0,1.2458286985539488,1.1666666666666667,56.0,35.0
56,1991.0,1.2458286985539488,1.2666666666666666,56.0,38.0
57,1992.0,1.2458286985539488,1.3,56.0,39.0
58,1993.0,1.2458286985539488,1.3,56.0,39.0
59,1994.0,1.2458286985539488,1.2333333333333334,56.0,37.0
60,1995.0,1.2458286985539488,1.3333333333333333,56.0,40.0
61,1996.0,1.2458286985539488,1.2333333333333334,56.0,37.0
62,1997.0,1.2458286985539488,1.3333333333333333,56.0,40.0
63,1998.0,1.2458286985539488,1.3,56.0,39.0
64,1999.0,1.2458286985539488,1.2666666666666666,56.0,38.0
65,2000.0,1.2458286985539488,1.2,56.0,36.0
66,2001.0,1.2458286985539488,1.2333333333333334,56.0,37.0
67,2002.0,1.2458286985539488,1.2666666666666666,56.0,38.0
68,2003.0,1.2458286985539488,1.3,56.0,39.0
69,2004.0,1.2458286985539488,1.3666666666666667,56.0,41.0
70,2005.0,1.2458286985539488,1.4,56.0,42.0
71,2006.0,1.2458286985539488,1.4,56.0,42.0
72,2007.0,1.2458286985539488,1.4333333333333333,56.0,43.0
73,2008.0,1.2458286985539488,1.4,56.0,42.0
74,2009.0,1.2458286985539488,1.4,56.0,42.0
75,2010.0,1.2458286985539488,1.4333333333333333,56.0,43.0
76,2011.0,1.2458286985539488,1.5,56.0,45.0
77,2012.0,1.2458286985539488,1.5666666666666667,56.0,47.0
78,2013.0,1.2458286985539488,1.5333333333333334,56.0,46.0
79,2014.0,1.2458286985539488,1.4,56.0,42.0
